Timestamp,Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price
1617147900,58599.99,58600,58599.99,58600,10.41217779,610153.61519,58599.999683
1617147960,58631.74,58699,58631.74,58666.54,10.42143181,611632.48225,58689.870394
1617148020,58680.18,58702.79,58680.18,58702.79,0.14419888,8461.8186708,58681.583871
1617148080,58699.45,58699.45,58675.12,58677.7,1.1650735,68363.404949,58677.332331
1617148140,58673.2,58673.2,58644.13,58644.13,0.84399831,49495.654991,58644.258412
1617148200,58673.2,58689.44,58673.2,58689.44,0.576412,33822.378068,58677.435702
1617148260,58677.05,58699.9,58660,58699.9,2.67267613,156832.69213,58680.02126
1617148320,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1617148380,58718.68,58731.23,58698.34,58698.5,0.20798259,12209.055282,58702.294657
1617148440,58736.19,58762.43,58736.19,58739.95,0.04155878,2441.3765717,58745.145351
1617148500,58742.18,58742.18,58714.31,58714.31,2.51999901,148004.44811,58731.946927
1617148560,58714.31,58714.31,58686,58686,1.38448731,81259.372187,58692.753339
1617148620,58683.97,58693.43,58683.97,58685.81,7.29484767,428158.14664,58693.226508
1617148680,58693.43,58723.84,58693.43,58723.84,1.70568236,100117.07037,58696.198496
1617148740,58742.18,58770.38,58742.18,58760.59,0.72041549,42332.958633,58761.866202
1617148800,58767.75,58778.18,58755.97,58778.18,2.71283104,159417.751,58764.349363
